GeoName,Description,years,value_x,value_y,difference
Utah,Goods,2008,96.9,99.5,-2.6130653266331603
Vermont,Goods,2008,98.5,99.5,-1.0050251256281406
Virginia,Goods,2008,100.5,99.5,1.0050251256281406
Washington,Goods,2008,103.7,99.5,4.221105527638193
West Virginia,Goods,2008,96.7,99.5,-2.814070351758791
Wisconsin,Goods,2008,95.5,99.5,-4.0201005025125625
Wyoming,Goods,2008,98.9,99.5,-0.6030150753768787
United States,Rents,2008,100.9,100.9,0.0
Alabama,Rents,2008,63.9,100.9,-36.66997026759168
Alaska,Rents,2008,133.8,100.9,32.60654112983152
Arizona,Rents,2008,102.6,100.9,1.6848364717542006
Arkansas,Rents,2008,62.4,100.9,-38.1565906838454
California,Rents,2008,154.6,100.9,53.221010901883034
Colorado,Rents,2008,107.1,100.9,6.1446977205153495
Connecticut,Rents,2008,120.6,100.9,19.524281466798797
Delaware,Rents,2008,96.9,100.9,-3.9643211100099105
District of Columbia,Rents,2008,140.9,100.9,39.64321110009911
Florida,Rents,2008,113.6,100.9,12.586719524281456
Georgia,Rents,2008,83.1,100.9,-17.641228939544114
Hawaii,Rents,2008,167.5,100.9,66.005946481665
Idaho,Rents,2008,83.2,100.9,-17.54212091179386
Illinois,Rents,2008,99.4,100.9,-1.4866204162537164
Indiana,Rents,2008,77.5,100.9,-23.19127849355798
Iowa,Rents,2008,72.8,100.9,-27.84935579781963
Kansas,Rents,2008,75.4,100.9,-25.272547076313177
Kentucky,Rents,2008,67.1,100.9,-33.498513379583756
Louisiana,Rents,2008,73.8,100.9,-26.858275520317154
Maine,Rents,2008,94.3,100.9,-6.541129831516361
Maryland,Rents,2008,124.5,100.9,23.38949454905847
Massachusetts,Rents,2008,124.7,100.9,23.587710604558964
Michigan,Rents,2008,86.3,100.9,-14.46977205153618
Minnesota,Rents,2008,94.1,100.9,-6.739345887016859
Mississippi,Rents,2008,63.2,100.9,-37.36372646184341
Missouri,Rents,2008,75.4,100.9,-25.272547076313177
Montana,Rents,2008,81.1,100.9,-19.623389494549066
Nebraska,Rents,2008,75.5,100.9,-25.17343904856294
Nevada,Rents,2008,119.0,100.9,17.93855302279484
New Hampshire,Rents,2008,125.8,100.9,24.677898909811685
New Jersey,Rents,2008,140.5,100.9,39.24677898909811
New Mexico,Rents,2008,82.4,100.9,-18.334985133795836
New York,Rents,2008,131.9,100.9,30.723488602576808
North Carolina,Rents,2008,79.1,100.9,-21.605550049554022
North Dakota,Rents,2008,70.6,100.9,-30.02973240832508
Ohio,Rents,2008,75.7,100.9,-24.97522299306244
Oklahoma,Rents,2008,67.0,100.9,-33.597621407334
Oregon,Rents,2008,97.5,100.9,-3.3696729435084296
Pennsylvania,Rents,2008,88.5,100.9,-12.28939544103073
Rhode Island,Rents,2008,106.1,100.9,5.153617443012872
South Carolina,Rents,2008,76.0,100.9,-24.6778989098117
South Dakota,Rents,2008,67.4,100.9,-33.201189296333
Tennessee,Rents,2008,73.5,100.9,-27.155599603567893
Texas,Rents,2008,88.2,100.9,-12.58671952428147
Utah,Rents,2008,94.9,100.9,-5.946481665014866
Vermont,Rents,2008,110.8,100.9,9.81169474727452
Virginia,Rents,2008,110.9,100.9,9.910802775024777
Washington,Rents,2008,110.3,100.9,9.316154608523282
West Virginia,Rents,2008,60.1,100.9,-40.4360753221011
Wisconsin,Rents,2008,89.0,100.9,-11.79385530227949
Wyoming,Rents,2008,85.1,100.9,-15.659068384539157
United States,Other,2008,100.1,100.1,0.0
Alabama,Other,2008,93.6,100.1,-6.493506493506494
Alaska,Other,2008,101.8,100.1,1.6983016983017012
Arizona,Other,2008,98.8,100.1,-1.298701298701296
Arkansas,Other,2008,92.5,100.1,-7.592407592407587
California,Other,2008,105.0,100.1,4.8951048951049
Colorado,Other,2008,95.7,100.1,-4.395604395604388
Connecticut,Other,2008,111.6,100.1,11.48851148851149
Delaware,Other,2008,105.5,100.1,5.394605394605401
District of Columbia,Other,2008,112.2,100.1,12.087912087912098
Florida,Other,2008,95.9,100.1,-4.195804195804185
Georgia,Other,2008,95.6,100.1,-4.495504495504496
Hawaii,Other,2008,109.3,100.1,9.190809190809194
Idaho,Other,2008,97.9,100.1,-2.1978021978021864
Illinois,Other,2008,99.3,100.1,-0.7992007992007965
Indiana,Other,2008,94.2,100.1,-5.894105894105886
Iowa,Other,2008,91.4,100.1,-8.69130869130868
Kansas,Other,2008,90.4,100.1,-9.69030969030968
Kentucky,Other,2008,93.2,100.1,-6.893106893106885
Louisiana,Other,2008,93.8,100.1,-6.2937062937062915
Maine,Other,2008,98.9,100.1,-1.1988011988011875
Maryland,Other,2008,109.7,100.1,9.5904095904096
Massachusetts,Other,2008,111.2,100.1,11.088911088911098
Michigan,Other,2008,98.3,100.1,-1.7982017982017955
Minnesota,Other,2008,99.1,100.1,-0.999000999000999
Mississippi,Other,2008,91.9,100.1,-8.191808191808182
Missouri,Other,2008,89.2,100.1,-10.889110889110881
Montana,Other,2008,97.5,100.1,-2.597402597402592
Nebraska,Other,2008,92.2,100.1,-7.892107892107885
Nevada,Other,2008,97.7,100.1,-2.3976023976023892
New Hampshire,Other,2008,107.8,100.1,7.692307692307695
New Jersey,Other,2008,112.6,100.1,12.487512487512488
New Mexico,Other,2008,98.0,100.1,-2.0979020979020926
New York,Other,2008,114.5,100.1,14.385614385614392
North Carolina,Other,2008,93.6,100.1,-6.493506493506494
North Dakota,Other,2008,91.4,100.1,-8.69130869130868
Ohio,Other,2008,93.0,100.1,-7.092907092907088
Oklahoma,Other,2008,93.2,100.1,-6.893106893106885
Oregon,Other,2008,99.5,100.1,-0.5994005994005938
Pennsylvania,Other,2008,102.0,100.1,1.898101898101904
Rhode Island,Other,2008,98.7,100.1,-1.39860139860139
South Carolina,Other,2008,93.8,100.1,-6.2937062937062915
South Dakota,Other,2008,90.9,100.1,-9.19080919080918
Tennessee,Other,2008,93.6,100.1,-6.493506493506494
Texas,Other,2008,99.1,100.1,-0.999000999000999
Utah,Other,2008,97.8,100.1,-2.297702297702295
Vermont,Other,2008,98.5,100.1,-1.598401598401593
Virginia,Other,2008,101.1,100.1,0.999000999000999
Washington,Other,2008,99.6,100.1,-0.4995004995004995
West Virginia,Other,2008,93.7,100.1,-6.393606393606385
Wisconsin,Other,2008,91.9,100.1,-8.191808191808182
Wyoming,Other,2008,97.6,100.1,-2.4975024975024978
United States,All items,2009,100.0,100.0,0.0
Alabama,All items,2009,87.5,100.0,-12.5
Alaska,All items,2009,106.9,100.0,6.900000000000006
Arizona,All items,2009,100.1,100.0,0.09999999999999432
Arkansas,All items,2009,86.6,100.0,-13.400000000000006
California,All items,2009,112.9,100.0,12.900000000000006
Colorado,All items,2009,101.1,100.0,1.0999999999999943
Connecticut,All items,2009,110.4,100.0,10.400000000000006
Delaware,All items,2009,103.2,100.0,3.200000000000003
District of Columbia,All items,2009,116.4,100.0,16.400000000000006
Florida,All items,2009,100.0,100.0,0.0
Georgia,All items,2009,93.1,100.0,-6.900000000000006
Hawaii,All items,2009,117.1,100.0,17.099999999999994
Idaho,All items,2009,94.8,100.0,-5.200000000000003
Illinois,All items,2009,100.9,100.0,0.9000000000000057
Indiana,All items,2009,91.4,100.0,-8.599999999999994
Iowa,All items,2009,89.0,100.0,-11.0
Kansas,All items,2009,89.6,100.0,-10.400000000000006
Kentucky,All items,2009,88.7,100.0,-11.299999999999997
Louisiana,All items,2009,91.4,100.0,-8.599999999999994
Maine,All items,2009,98.1,100.0,-1.900000000000006
Maryland,All items,2009,111.3,100.0,11.299999999999997
Massachusetts,All items,2009,108.0,100.0,8.0
Michigan,All items,2009,95.2,100.0,-4.799999999999997
Minnesota,All items,2009,97.7,100.0,-2.299999999999997
Mississippi,All items,2009,85.8,100.0,-14.200000000000001
Missouri,All items,2009,87.9,100.0,-12.099999999999994
Montana,All items,2009,94.5,100.0,-5.5
Nebraska,All items,2009,89.6,100.0,-10.400000000000006
Nevada,All items,2009,100.7,100.0,0.7000000000000028
New Hampshire,All items,2009,106.4,100.0,6.400000000000006
New Jersey,All items,2009,113.3,100.0,13.299999999999997
New Mexico,All items,2009,94.4,100.0,-5.599999999999994
New York,All items,2009,115.3,100.0,15.299999999999997
North Carolina,All items,2009,92.1,100.0,-7.900000000000006
North Dakota,All items,2009,89.0,100.0,-11.0
Ohio,All items,2009,89.3,100.0,-10.700000000000003
Oklahoma,All items,2009,89.5,100.0,-10.5
Oregon,All items,2009,98.9,100.0,-1.0999999999999943
Pennsylvania,All items,2009,98.2,100.0,-1.7999999999999972
Rhode Island,All items,2009,100.0,100.0,0.0
South Carolina,All items,2009,91.5,100.0,-8.5
