Season,Season type,Referee,Games,foul_type,foul_called,foul_per_game,z_score
2017-18,Regular Season,Josh Tiven,60,Offensive charge,17,0.28,-1.01
2017-18,Regular Season,Josh Tiven,60,Offensive,15,0.25,-0.17
2017-18,Regular Season,Josh Tiven,60,Technical,15,0.25,0.2
2017-18,Regular Season,Josh Tiven,60,Defensive goaltending,9,0.15,0.16
2017-18,Regular Season,Josh Tiven,60,Defensive 3 seconds,6,0.1,-0.25
2017-18,Regular Season,Justin Van Duyne,40,Total fouls,591,14.78,0.61
2017-18,Regular Season,Justin Van Duyne,40,Shooting,274,6.85,0.75
2017-18,Regular Season,Justin Van Duyne,40,Loose ball,36,0.9,0.45
2017-18,Regular Season,Justin Van Duyne,40,Offensive charge,14,0.35,-0.35
2017-18,Regular Season,Justin Van Duyne,40,Offensive,8,0.2,-0.35
2017-18,Regular Season,Justin Van Duyne,40,Technical,6,0.15,-0.62
2017-18,Regular Season,Justin Van Duyne,40,Defensive goaltending,3,0.08,-1.01
2017-18,Regular Season,Justin Van Duyne,40,Defensive 3 seconds,14,0.35,2.45
2017-18,Regular Season,Kane Fitzgerald,60,Total fouls,900,15.0,0.76
2017-18,Regular Season,Kane Fitzgerald,60,Shooting,372,6.2,-0.17
2017-18,Regular Season,Kane Fitzgerald,60,Loose ball,52,0.87,0.32
2017-18,Regular Season,Kane Fitzgerald,60,Offensive charge,26,0.43,0.47
2017-18,Regular Season,Kane Fitzgerald,60,Offensive,29,0.48,0.67
2017-18,Regular Season,Kane Fitzgerald,60,Technical,21,0.35,1.03
2017-18,Regular Season,Kane Fitzgerald,60,Defensive goaltending,7,0.12,-0.36
2017-18,Regular Season,Kane Fitzgerald,60,Defensive 3 seconds,10,0.17,0.47
2017-18,Regular Season,Karl Lane,63,Total fouls,900,14.29,0.27
2017-18,Regular Season,Karl Lane,63,Shooting,397,6.3,-0.03
2017-18,Regular Season,Karl Lane,63,Loose ball,33,0.52,-1.09
2017-18,Regular Season,Karl Lane,63,Offensive charge,28,0.44,0.58
2017-18,Regular Season,Karl Lane,63,Offensive,26,0.41,0.42
2017-18,Regular Season,Karl Lane,63,Technical,8,0.13,-0.81
2017-18,Regular Season,Karl Lane,63,Defensive goaltending,5,0.08,-0.94
2017-18,Regular Season,Karl Lane,63,Defensive 3 seconds,9,0.14,0.21
2017-18,Regular Season,Ken Mauer,60,Total fouls,859,14.32,0.29
2017-18,Regular Season,Ken Mauer,60,Shooting,404,6.73,0.58
2017-18,Regular Season,Ken Mauer,60,Loose ball,43,0.72,-0.3
2017-18,Regular Season,Ken Mauer,60,Offensive charge,26,0.43,0.47
2017-18,Regular Season,Ken Mauer,60,Offensive,11,0.18,-0.41
2017-18,Regular Season,Ken Mauer,60,Technical,12,0.2,-0.21
2017-18,Regular Season,Ken Mauer,60,Defensive goaltending,10,0.17,0.42
2017-18,Regular Season,Ken Mauer,60,Defensive 3 seconds,0,0.0,-1.33
2017-18,Regular Season,Kevin Cutler,62,Total fouls,759,12.24,-1.15
2017-18,Regular Season,Kevin Cutler,62,Shooting,350,5.65,-0.96
2017-18,Regular Season,Kevin Cutler,62,Loose ball,36,0.58,-0.85
2017-18,Regular Season,Kevin Cutler,62,Offensive charge,19,0.31,-0.78
2017-18,Regular Season,Kevin Cutler,62,Offensive,9,0.15,-0.55
2017-18,Regular Season,Kevin Cutler,62,Technical,6,0.1,-1.06
2017-18,Regular Season,Kevin Cutler,62,Defensive goaltending,3,0.05,-1.43
2017-18,Regular Season,Kevin Cutler,62,Defensive 3 seconds,2,0.03,-0.99
2017-18,Regular Season,Kevin Scott,60,Total fouls,766,12.77,-0.78
2017-18,Regular Season,Kevin Scott,60,Shooting,315,5.25,-1.52
2017-18,Regular Season,Kevin Scott,60,Loose ball,54,0.9,0.45
2017-18,Regular Season,Kevin Scott,60,Offensive charge,17,0.28,-1.01
2017-18,Regular Season,Kevin Scott,60,Offensive,13,0.22,-0.29
2017-18,Regular Season,Kevin Scott,60,Technical,10,0.17,-0.48
2017-18,Regular Season,Kevin Scott,60,Defensive goaltending,8,0.13,-0.1
2017-18,Regular Season,Kevin Scott,60,Defensive 3 seconds,1,0.02,-1.15
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Total fouls,731,13.29,-0.42
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Shooting,348,6.33,0.01
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Loose ball,23,0.42,-1.52
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Offensive charge,23,0.42,0.32
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Offensive,21,0.38,0.31
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Technical,7,0.13,-0.81
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Defensive goaltending,7,0.13,-0.19
2017-18,Regular Season,Lauren Holtkamp-Sterling,55,Defensive 3 seconds,3,0.05,-0.74
2017-18,Regular Season,Leon Wood,58,Total fouls,710,12.24,-1.15
2017-18,Regular Season,Leon Wood,58,Shooting,274,4.72,-2.26
2017-18,Regular Season,Leon Wood,58,Loose ball,54,0.93,0.58
2017-18,Regular Season,Leon Wood,58,Offensive charge,23,0.4,0.11
2017-18,Regular Season,Leon Wood,58,Offensive,11,0.19,-0.39
2017-18,Regular Season,Leon Wood,58,Technical,2,0.03,-1.57
2017-18,Regular Season,Leon Wood,58,Defensive goaltending,10,0.17,0.51
2017-18,Regular Season,Leon Wood,58,Defensive 3 seconds,3,0.05,-0.78
2017-18,Regular Season,Leroy Richardson,58,Total fouls,795,13.71,-0.13
2017-18,Regular Season,Leroy Richardson,58,Shooting,383,6.6,0.4
2017-18,Regular Season,Leroy Richardson,58,Loose ball,26,0.45,-1.4
2017-18,Regular Season,Leroy Richardson,58,Offensive charge,18,0.31,-0.74
2017-18,Regular Season,Leroy Richardson,58,Offensive,21,0.36,0.24
2017-18,Regular Season,Leroy Richardson,58,Technical,10,0.17,-0.43
2017-18,Regular Season,Leroy Richardson,58,Defensive goaltending,13,0.22,1.32
2017-18,Regular Season,Leroy Richardson,58,Defensive 3 seconds,4,0.07,-0.59
2017-18,Regular Season,Marat Kogut,61,Total fouls,850,13.93,0.03
2017-18,Regular Season,Marat Kogut,61,Shooting,394,6.46,0.19
2017-18,Regular Season,Marat Kogut,61,Loose ball,39,0.64,-0.61
2017-18,Regular Season,Marat Kogut,61,Offensive charge,31,0.51,1.22
2017-18,Regular Season,Marat Kogut,61,Offensive,25,0.41,0.41
2017-18,Regular Season,Marat Kogut,61,Technical,10,0.16,-0.5
2017-18,Regular Season,Marat Kogut,61,Defensive goaltending,11,0.18,0.64
2017-18,Regular Season,Marat Kogut,61,Defensive 3 seconds,5,0.08,-0.45
2017-18,Regular Season,Marc Davis,60,Total fouls,857,14.28,0.27
2017-18,Regular Season,Marc Davis,60,Shooting,392,6.53,0.3
2017-18,Regular Season,Marc Davis,60,Loose ball,36,0.6,-0.78
2017-18,Regular Season,Marc Davis,60,Offensive charge,18,0.3,-0.85
2017-18,Regular Season,Marc Davis,60,Offensive,12,0.2,-0.35
2017-18,Regular Season,Marc Davis,60,Technical,28,0.47,1.99
2017-18,Regular Season,Marc Davis,60,Defensive goaltending,10,0.17,0.42
2017-18,Regular Season,Marc Davis,60,Defensive 3 seconds,9,0.15,0.29
2017-18,Regular Season,Mark Ayotte,60,Total fouls,760,12.67,-0.85
2017-18,Regular Season,Mark Ayotte,60,Shooting,335,5.58,-1.04
2017-18,Regular Season,Mark Ayotte,60,Loose ball,25,0.42,-1.53
2017-18,Regular Season,Mark Ayotte,60,Offensive charge,14,0.23,-1.51
2017-18,Regular Season,Mark Ayotte,60,Offensive,9,0.15,-0.53
2017-18,Regular Season,Mark Ayotte,60,Technical,8,0.13,-0.76
2017-18,Regular Season,Mark Ayotte,60,Defensive goaltending,7,0.12,-0.36
2017-18,Regular Season,Mark Ayotte,60,Defensive 3 seconds,2,0.03,-0.97
2017-18,Regular Season,Mark Lindsay,61,Total fouls,722,11.84,-1.43
2017-18,Regular Season,Mark Lindsay,61,Shooting,311,5.1,-1.73
2017-18,Regular Season,Mark Lindsay,61,Loose ball,28,0.46,-1.35
2017-18,Regular Season,Mark Lindsay,61,Offensive charge,19,0.31,-0.73
2017-18,Regular Season,Mark Lindsay,61,Offensive,10,0.16,-0.48
2017-18,Regular Season,Mark Lindsay,61,Technical,6,0.1,-1.04
2017-18,Regular Season,Mark Lindsay,61,Defensive goaltending,8,0.13,-0.13
2017-18,Regular Season,Mark Lindsay,61,Defensive 3 seconds,15,0.25,1.33
2017-18,Regular Season,Matt Boland,61,Total fouls,825,13.52,-0.26
2017-18,Regular Season,Matt Boland,61,Shooting,295,4.84,-2.1
2017-18,Regular Season,Matt Boland,61,Loose ball,67,1.1,1.26
2017-18,Regular Season,Matt Boland,61,Offensive charge,35,0.57,1.86
2017-18,Regular Season,Matt Boland,61,Offensive,6,0.1,-0.72
2017-18,Regular Season,Matt Boland,61,Technical,14,0.23,0.04
2017-18,Regular Season,Matt Boland,61,Defensive goaltending,9,0.15,0.12
2017-18,Regular Season,Matt Boland,61,Defensive 3 seconds,3,0.05,-0.8
2017-18,Regular Season,Michael Smith,60,Total fouls,935,15.58,1.17
2017-18,Regular Season,Michael Smith,60,Shooting,396,6.6,0.39
2017-18,Regular Season,Michael Smith,60,Loose ball,34,0.57,-0.91
2017-18,Regular Season,Michael Smith,60,Offensive charge,36,0.6,2.12
2017-18,Regular Season,Michael Smith,60,Offensive,26,0.43,0.49
2017-18,Regular Season,Michael Smith,60,Technical,19,0.32,0.75
2017-18,Regular Season,Michael Smith,60,Defensive goaltending,4,0.07,-1.14
2017-18,Regular Season,Michael Smith,60,Defensive 3 seconds,15,0.25,1.37
2017-18,Regular Season,Mike Callahan,58,Total fouls,739,12.74,-0.8
2017-18,Regular Season,Mike Callahan,58,Shooting,344,5.93,-0.55
2017-18,Regular Season,Mike Callahan,58,Loose ball,32,0.55,-0.97
2017-18,Regular Season,Mike Callahan,58,Offensive charge,15,0.26,-1.26
2017-18,Regular Season,Mike Callahan,58,Offensive,9,0.16,-0.51
2017-18,Regular Season,Mike Callahan,58,Technical,5,0.09,-1.14
2017-18,Regular Season,Mike Callahan,58,Defensive goaltending,8,0.14,-0.03
2017-18,Regular Season,Mike Callahan,58,Defensive 3 seconds,10,0.17,0.53
2017-18,Regular Season,Mitchell Ervin,47,Total fouls,696,14.81,0.63
2017-18,Regular Season,Mitchell Ervin,47,Shooting,338,7.19,1.23
2017-18,Regular Season,Mitchell Ervin,47,Loose ball,42,0.89,0.43
2017-18,Regular Season,Mitchell Ervin,47,Offensive charge,15,0.32,-0.66
2017-18,Regular Season,Mitchell Ervin,47,Offensive,16,0.34,0.16
2017-18,Regular Season,Mitchell Ervin,47,Technical,8,0.17,-0.45
2017-18,Regular Season,Mitchell Ervin,47,Defensive goaltending,3,0.06,-1.19
2017-18,Regular Season,Mitchell Ervin,47,Defensive 3 seconds,6,0.13,0.05
2017-18,Regular Season,Monty McCutchen,19,Total fouls,272,14.32,0.29
2017-18,Regular Season,Monty McCutchen,19,Shooting,95,5.0,-1.87
2017-18,Regular Season,Monty McCutchen,19,Loose ball,16,0.84,0.22
2017-18,Regular Season,Monty McCutchen,19,Offensive charge,12,0.63,2.44
2017-18,Regular Season,Monty McCutchen,19,Offensive,3,0.16,-0.5
2017-18,Regular Season,Monty McCutchen,19,Technical,5,0.26,0.31
2017-18,Regular Season,Monty McCutchen,19,Defensive goaltending,2,0.11,-0.54
2017-18,Regular Season,Monty McCutchen,19,Defensive 3 seconds,7,0.37,2.65
2017-18,Regular Season,Nick Buchert,62,Total fouls,987,15.92,1.4
2017-18,Regular Season,Nick Buchert,62,Shooting,445,7.18,1.21
2017-18,Regular Season,Nick Buchert,62,Loose ball,53,0.85,0.27
2017-18,Regular Season,Nick Buchert,62,Offensive charge,26,0.42,0.34
2017-18,Regular Season,Nick Buchert,62,Offensive,26,0.42,0.44
2017-18,Regular Season,Nick Buchert,62,Technical,15,0.24,0.14
2017-18,Regular Season,Nick Buchert,62,Defensive goaltending,12,0.19,0.84
2017-18,Regular Season,Nick Buchert,62,Defensive 3 seconds,9,0.15,0.24
2017-18,Regular Season,Pat Fraher,61,Total fouls,692,11.34,-1.77
2017-18,Regular Season,Pat Fraher,61,Shooting,351,5.75,-0.8
2017-18,Regular Season,Pat Fraher,61,Loose ball,30,0.49,-1.22
2017-18,Regular Season,Pat Fraher,61,Offensive charge,12,0.2,-1.87
2017-18,Regular Season,Pat Fraher,61,Offensive,18,0.3,-0.01
2017-18,Regular Season,Pat Fraher,61,Technical,12,0.2,-0.23
2017-18,Regular Season,Pat Fraher,61,Defensive goaltending,3,0.05,-1.42
2017-18,Regular Season,Pat Fraher,61,Defensive 3 seconds,8,0.13,0.08
2017-18,Regular Season,Ray Acosta,34,Total fouls,418,12.29,-1.11
2017-18,Regular Season,Ray Acosta,34,Shooting,209,6.15,-0.25
2017-18,Regular Season,Ray Acosta,34,Loose ball,18,0.53,-1.06
2017-18,Regular Season,Ray Acosta,34,Offensive charge,10,0.29,-0.9
2017-18,Regular Season,Ray Acosta,34,Offensive,11,0.32,0.1
2017-18,Regular Season,Ray Acosta,34,Technical,9,0.26,0.32
2017-18,Regular Season,Ray Acosta,34,Defensive goaltending,6,0.18,0.58
2017-18,Regular Season,Ray Acosta,34,Defensive 3 seconds,1,0.03,-1.02
2017-18,Regular Season,Rodney Mott,57,Total fouls,766,13.44,-0.32
2017-18,Regular Season,Rodney Mott,57,Shooting,308,5.4,-1.3
2017-18,Regular Season,Rodney Mott,57,Loose ball,63,1.11,1.29
2017-18,Regular Season,Rodney Mott,57,Offensive charge,21,0.37,-0.17
2017-18,Regular Season,Rodney Mott,57,Offensive,20,0.35,0.19
2017-18,Regular Season,Rodney Mott,57,Technical,12,0.21,-0.12
2017-18,Regular Season,Rodney Mott,57,Defensive goaltending,14,0.25,1.66
2017-18,Regular Season,Rodney Mott,57,Defensive 3 seconds,6,0.11,-0.2
2017-18,Regular Season,Ron Garretson,59,Total fouls,724,12.27,-1.13
2017-18,Regular Season,Ron Garretson,59,Shooting,313,5.31,-1.44
2017-18,Regular Season,Ron Garretson,59,Loose ball,40,0.68,-0.46
2017-18,Regular Season,Ron Garretson,59,Offensive charge,28,0.47,0.88
2017-18,Regular Season,Ron Garretson,59,Offensive,6,0.1,-0.71
2017-18,Regular Season,Ron Garretson,59,Technical,9,0.15,-0.6
2017-18,Regular Season,Ron Garretson,59,Defensive goaltending,9,0.15,0.2
2017-18,Regular Season,Ron Garretson,59,Defensive 3 seconds,8,0.14,0.13
2017-18,Regular Season,Scott Foster,61,Total fouls,961,15.75,1.29
2017-18,Regular Season,Scott Foster,61,Shooting,407,6.67,0.5
2017-18,Regular Season,Scott Foster,61,Loose ball,70,1.15,1.47
2017-18,Regular Season,Scott Foster,61,Offensive charge,25,0.41,0.24
2017-18,Regular Season,Scott Foster,61,Offensive,32,0.52,0.82
2017-18,Regular Season,Scott Foster,61,Technical,13,0.21,-0.1
2017-18,Regular Season,Scott Foster,61,Defensive goaltending,13,0.21,1.15
2017-18,Regular Season,Scott Foster,61,Defensive 3 seconds,7,0.11,-0.09
2017-18,Regular Season,Scott Twardoski,60,Total fouls,780,13.0,-0.62
2017-18,Regular Season,Scott Twardoski,60,Shooting,382,6.37,0.06
2017-18,Regular Season,Scott Twardoski,60,Loose ball,40,0.67,-0.5
2017-18,Regular Season,Scott Twardoski,60,Offensive charge,26,0.43,0.47
2017-18,Regular Season,Scott Twardoski,60,Offensive,9,0.15,-0.53
2017-18,Regular Season,Scott Twardoski,60,Technical,9,0.15,-0.62
2017-18,Regular Season,Scott Twardoski,60,Defensive goaltending,7,0.12,-0.36
2017-18,Regular Season,Scott Twardoski,60,Defensive 3 seconds,12,0.2,0.83
2017-18,Regular Season,Scott Wall,61,Total fouls,817,13.39,-0.35
2017-18,Regular Season,Scott Wall,61,Shooting,394,6.46,0.19
2017-18,Regular Season,Scott Wall,61,Loose ball,42,0.69,-0.41
2017-18,Regular Season,Scott Wall,61,Offensive charge,26,0.43,0.4
2017-18,Regular Season,Scott Wall,61,Offensive,17,0.28,-0.07
2017-18,Regular Season,Scott Wall,61,Technical,7,0.11,-0.91
2017-18,Regular Season,Scott Wall,61,Defensive goaltending,11,0.18,0.64
2017-18,Regular Season,Scott Wall,61,Defensive 3 seconds,2,0.03,-0.98
2017-18,Regular Season,Sean Corbin,50,Total fouls,786,15.72,1.26
2017-18,Regular Season,Sean Corbin,50,Shooting,302,6.04,-0.4
2017-18,Regular Season,Sean Corbin,50,Loose ball,40,0.8,0.04
2017-18,Regular Season,Sean Corbin,50,Offensive charge,18,0.36,-0.25
2017-18,Regular Season,Sean Corbin,50,Offensive,18,0.36,0.23
2017-18,Regular Season,Sean Corbin,50,Technical,13,0.26,0.29
2017-18,Regular Season,Sean Corbin,50,Defensive goaltending,5,0.1,-0.62
2017-18,Regular Season,Sean Corbin,50,Defensive 3 seconds,14,0.28,1.7
2017-18,Regular Season,Sean Wright,58,Total fouls,948,16.34,1.7
2017-18,Regular Season,Sean Wright,58,Shooting,400,6.9,0.81
2017-18,Regular Season,Sean Wright,58,Loose ball,72,1.24,1.85
2017-18,Regular Season,Sean Wright,58,Offensive charge,31,0.53,1.48
2017-18,Regular Season,Sean Wright,58,Offensive,17,0.29,-0.01
2017-18,Regular Season,Sean Wright,58,Technical,9,0.16,-0.58
2017-18,Regular Season,Sean Wright,58,Defensive goaltending,10,0.17,0.51
2017-18,Regular Season,Sean Wright,58,Defensive 3 seconds,2,0.03,-0.96
2017-18,Regular Season,Tom Washington,59,Total fouls,828,14.03,0.09
2017-18,Regular Season,Tom Washington,59,Shooting,374,6.34,0.02
2017-18,Regular Season,Tom Washington,59,Loose ball,33,0.56,-0.94
2017-18,Regular Season,Tom Washington,59,Offensive charge,26,0.44,0.55
2017-18,Regular Season,Tom Washington,59,Offensive,25,0.42,0.46
2017-18,Regular Season,Tom Washington,59,Technical,9,0.15,-0.6
2017-18,Regular Season,Tom Washington,59,Defensive goaltending,5,0.08,-0.86
2017-18,Regular Season,Tom Washington,59,Defensive 3 seconds,3,0.05,-0.78
2017-18,Regular Season,Tony Brothers,59,Total fouls,881,14.93,0.72
2017-18,Regular Season,Tony Brothers,59,Shooting,385,6.53,0.29
2017-18,Regular Season,Tony Brothers,59,Loose ball,35,0.59,-0.8
2017-18,Regular Season,Tony Brothers,59,Offensive charge,25,0.42,0.38
2017-18,Regular Season,Tony Brothers,59,Offensive,13,0.22,-0.28
2017-18,Regular Season,Tony Brothers,59,Technical,28,0.47,2.05
2017-18,Regular Season,Tony Brothers,59,Defensive goaltending,7,0.12,-0.33
2017-18,Regular Season,Tony Brothers,59,Defensive 3 seconds,5,0.08,-0.42
2017-18,Regular Season,Tony Brown,60,Total fouls,929,15.48,1.1
2017-18,Regular Season,Tony Brown,60,Shooting,358,5.97,-0.5
2017-18,Regular Season,Tony Brown,60,Loose ball,63,1.05,1.07
2017-18,Regular Season,Tony Brown,60,Offensive charge,29,0.48,0.97
2017-18,Regular Season,Tony Brown,60,Offensive,35,0.58,1.03
2017-18,Regular Season,Tony Brown,60,Technical,12,0.2,-0.21
2017-18,Regular Season,Tony Brown,60,Defensive goaltending,13,0.22,1.21
2017-18,Regular Season,Tony Brown,60,Defensive 3 seconds,11,0.18,0.65
2017-18,Regular Season,Tre Maddox,56,Total fouls,758,13.54,-0.25
2017-18,Regular Season,Tre Maddox,56,Shooting,322,5.75,-0.81
2017-18,Regular Season,Tre Maddox,56,Loose ball,57,1.02,0.93
2017-18,Regular Season,Tre Maddox,56,Offensive charge,18,0.32,-0.63
2017-18,Regular Season,Tre Maddox,56,Offensive,31,0.55,0.93
2017-18,Regular Season,Tre Maddox,56,Technical,15,0.27,0.35
2017-18,Regular Season,Tre Maddox,56,Defensive goaltending,6,0.11,-0.51
2017-18,Regular Season,Tre Maddox,56,Defensive 3 seconds,4,0.07,-0.56
2017-18,Regular Season,Tyler Ford,59,Total fouls,895,15.17,0.88
2017-18,Regular Season,Tyler Ford,59,Shooting,378,6.41,0.12
2017-18,Regular Season,Tyler Ford,59,Loose ball,64,1.08,1.21
2017-18,Regular Season,Tyler Ford,59,Offensive charge,29,0.49,1.05
2017-18,Regular Season,Tyler Ford,59,Offensive,17,0.29,-0.03
2017-18,Regular Season,Tyler Ford,59,Technical,22,0.37,1.22
2017-18,Regular Season,Tyler Ford,59,Defensive goaltending,5,0.08,-0.86
2017-18,Regular Season,Tyler Ford,59,Defensive 3 seconds,6,0.1,-0.23
2017-18,Regular Season,Zach Zarba,60,Total fouls,846,14.1,0.14
2017-18,Regular Season,Zach Zarba,60,Shooting,370,6.17,-0.22
2017-18,Regular Season,Zach Zarba,60,Loose ball,59,0.98,0.79
2017-18,Regular Season,Zach Zarba,60,Offensive charge,25,0.42,0.31
2017-18,Regular Season,Zach Zarba,60,Offensive,12,0.2,-0.35
2017-18,Regular Season,Zach Zarba,60,Technical,15,0.25,0.2
2017-18,Regular Season,Zach Zarba,60,Defensive goaltending,8,0.13,-0.1
2017-18,Regular Season,Zach Zarba,60,Defensive 3 seconds,3,0.05,-0.79
2018-19,Regular Season,Aaron Smith,59,Total fouls,784,13.29,-0.42
2018-19,Regular Season,Aaron Smith,59,Shooting,378,6.41,0.12
2018-19,Regular Season,Aaron Smith,59,Loose ball,47,0.8,0.03
2018-19,Regular Season,Aaron Smith,59,Offensive charge,14,0.24,-1.47
2018-19,Regular Season,Aaron Smith,59,Offensive,4,0.07,-0.83
2018-19,Regular Season,Aaron Smith,59,Technical,16,0.27,0.38
2018-19,Regular Season,Aaron Smith,59,Defensive goaltending,5,0.08,-0.86
2018-19,Regular Season,Aaron Smith,59,Defensive 3 seconds,0,0.0,-1.33
2018-19,Regular Season,Ashley Moyer-Gleich,31,Total fouls,336,10.84,-2.12
2018-19,Regular Season,Ashley Moyer-Gleich,31,Shooting,180,5.81,-0.73
2018-19,Regular Season,Ashley Moyer-Gleich,31,Loose ball,22,0.71,-0.33
2018-19,Regular Season,Ashley Moyer-Gleich,31,Offensive charge,8,0.26,-1.26
2018-19,Regular Season,Ashley Moyer-Gleich,31,Offensive,4,0.13,-0.61
2018-19,Regular Season,Ashley Moyer-Gleich,31,Technical,7,0.23,0.0
2018-19,Regular Season,Ashley Moyer-Gleich,31,Defensive goaltending,2,0.06,-1.18
2018-19,Regular Season,Ashley Moyer-Gleich,31,Defensive 3 seconds,0,0.0,-1.33
2018-19,Regular Season,Ben Taylor,63,Total fouls,919,14.59,0.48
2018-19,Regular Season,Ben Taylor,63,Shooting,418,6.63,0.44
2018-19,Regular Season,Ben Taylor,63,Loose ball,57,0.9,0.47
2018-19,Regular Season,Ben Taylor,63,Offensive charge,22,0.35,-0.36
2018-19,Regular Season,Ben Taylor,63,Offensive,10,0.16,-0.5
2018-19,Regular Season,Ben Taylor,63,Technical,14,0.22,-0.02
2018-19,Regular Season,Ben Taylor,63,Defensive goaltending,11,0.17,0.55
2018-19,Regular Season,Ben Taylor,63,Defensive 3 seconds,8,0.13,0.04
2018-19,Regular Season,Brandon Adair,44,Total fouls,503,11.43,-1.71
2018-19,Regular Season,Brandon Adair,44,Shooting,266,6.05,-0.39
2018-19,Regular Season,Brandon Adair,44,Loose ball,19,0.43,-1.46
2018-19,Regular Season,Brandon Adair,44,Offensive charge,11,0.25,-1.34
2018-19,Regular Season,Brandon Adair,44,Offensive,3,0.07,-0.83
2018-19,Regular Season,Brandon Adair,44,Technical,5,0.11,-0.92
2018-19,Regular Season,Brandon Adair,44,Defensive goaltending,1,0.02,-1.83
2018-19,Regular Season,Brandon Adair,44,Defensive 3 seconds,1,0.02,-1.09
2018-19,Regular Season,Brent Barnaky,61,Total fouls,808,13.25,-0.45
2018-19,Regular Season,Brent Barnaky,61,Shooting,393,6.44,0.17
2018-19,Regular Season,Brent Barnaky,61,Loose ball,36,0.59,-0.82
2018-19,Regular Season,Brent Barnaky,61,Offensive charge,27,0.44,0.57
2018-19,Regular Season,Brent Barnaky,61,Offensive,8,0.13,-0.6
2018-19,Regular Season,Brent Barnaky,61,Technical,8,0.13,-0.77
2018-19,Regular Season,Brent Barnaky,61,Defensive goaltending,3,0.05,-1.42
2018-19,Regular Season,Brent Barnaky,61,Defensive 3 seconds,3,0.05,-0.8
2018-19,Regular Season,Brett Nansel,44,Total fouls,651,14.8,0.62
2018-19,Regular Season,Brett Nansel,44,Shooting,336,7.64,1.86
2018-19,Regular Season,Brett Nansel,44,Loose ball,28,0.64,-0.63
2018-19,Regular Season,Brett Nansel,44,Offensive charge,16,0.36,-0.22
2018-19,Regular Season,Brett Nansel,44,Offensive,11,0.25,-0.17
2018-19,Regular Season,Brett Nansel,44,Technical,7,0.16,-0.54
2018-19,Regular Season,Brett Nansel,44,Defensive goaltending,4,0.09,-0.76
2018-19,Regular Season,Brett Nansel,44,Defensive 3 seconds,4,0.09,-0.35
2018-19,Regular Season,Brian Forte,64,Total fouls,884,13.81,-0.06
2018-19,Regular Season,Brian Forte,64,Shooting,405,6.33,0.01
2018-19,Regular Season,Brian Forte,64,Loose ball,44,0.69,-0.42
2018-19,Regular Season,Brian Forte,64,Offensive charge,31,0.48,0.98
2018-19,Regular Season,Brian Forte,64,Offensive,7,0.11,-0.68
2018-19,Regular Season,Brian Forte,64,Technical,30,0.47,2.0
2018-19,Regular Season,Brian Forte,64,Defensive goaltending,7,0.11,-0.47
2018-19,Regular Season,Brian Forte,64,Defensive 3 seconds,8,0.12,0.02
2018-19,Regular Season,C.J. Washington,41,Total fouls,615,15.0,0.76
2018-19,Regular Season,C.J. Washington,41,Shooting,278,6.78,0.65
2018-19,Regular Season,C.J. Washington,41,Loose ball,43,1.05,1.06
2018-19,Regular Season,C.J. Washington,41,Offensive charge,15,0.37,-0.19
2018-19,Regular Season,C.J. Washington,41,Offensive,3,0.07,-0.81
2018-19,Regular Season,C.J. Washington,41,Technical,13,0.32,0.76
2018-19,Regular Season,C.J. Washington,41,Defensive goaltending,6,0.15,0.11
2018-19,Regular Season,C.J. Washington,41,Defensive 3 seconds,11,0.27,1.57
2018-19,Regular Season,Courtney Kirkland,61,Total fouls,860,14.1,0.14
2018-19,Regular Season,Courtney Kirkland,61,Shooting,379,6.21,-0.15
2018-19,Regular Season,Courtney Kirkland,61,Loose ball,73,1.2,1.67
2018-19,Regular Season,Courtney Kirkland,61,Offensive charge,39,0.64,2.51
2018-19,Regular Season,Courtney Kirkland,61,Offensive,11,0.18,-0.42
2018-19,Regular Season,Courtney Kirkland,61,Technical,4,0.07,-1.31
2018-19,Regular Season,Courtney Kirkland,61,Defensive goaltending,14,0.23,1.41
2018-19,Regular Season,Courtney Kirkland,61,Defensive 3 seconds,11,0.18,0.62
2018-19,Regular Season,Curtis Blair,62,Total fouls,826,13.32,-0.4
2018-19,Regular Season,Curtis Blair,62,Shooting,426,6.87,0.78
2018-19,Regular Season,Curtis Blair,62,Loose ball,39,0.63,-0.66
2018-19,Regular Season,Curtis Blair,62,Offensive charge,19,0.31,-0.78
2018-19,Regular Season,Curtis Blair,62,Offensive,6,0.1,-0.72
2018-19,Regular Season,Curtis Blair,62,Technical,7,0.11,-0.92
2018-19,Regular Season,Curtis Blair,62,Defensive goaltending,6,0.1,-0.67
2018-19,Regular Season,Curtis Blair,62,Defensive 3 seconds,3,0.05,-0.81
2018-19,Regular Season,David Guthrie,61,Total fouls,888,14.56,0.46
2018-19,Regular Season,David Guthrie,61,Shooting,372,6.1,-0.32
2018-19,Regular Season,David Guthrie,61,Loose ball,41,0.67,-0.48
2018-19,Regular Season,David Guthrie,61,Offensive charge,24,0.39,0.08
