Year,Service Type,Service Level,Coverage,ISO3,Region,,
2016,Drinking water,Unimproved,12.61414871105481,PER,Pasco,ENDES16,TRUE
2016,Drinking water,At least basic,84.33057501801969,PER,Piura,ENDES16,TRUE
2016,Drinking water,Limited service,2.812124024961786,PER,Piura,ENDES16,TRUE
2016,Drinking water,Surface water,7.4174826112293,PER,Piura,ENDES16,TRUE
2016,Drinking water,Unimproved,5.43981834578922,PER,Piura,ENDES16,TRUE
2016,Drinking water,At least basic,80.34906600042653,PER,Puno,ENDES16,TRUE
2016,Drinking water,Limited service,0.98542012240601,PER,Puno,ENDES16,TRUE
2016,Drinking water,Surface water,1.465557008156825,PER,Puno,ENDES16,TRUE
2016,Drinking water,Unimproved,17.19995686901063,PER,Puno,ENDES16,TRUE
2016,Drinking water,At least basic,90.45835096808467,PER,San Martin,ENDES16,TRUE
2016,Drinking water,Limited service,0.7077527559419474,PER,San Martin,ENDES16,TRUE
2016,Drinking water,Surface water,3.256145419452749,PER,San Martin,ENDES16,TRUE
2016,Drinking water,Unimproved,5.577750856520623,PER,San Martin,ENDES16,TRUE
2016,Drinking water,At least basic,98.77101473962887,PER,Tacna,ENDES16,TRUE
2016,Drinking water,Limited service,0.4091322141678026,PER,Tacna,ENDES16,TRUE
2016,Drinking water,Surface water,0.0246399163253378,PER,Tacna,ENDES16,TRUE
2016,Drinking water,Unimproved,0.7952131298779932,PER,Tacna,ENDES16,TRUE
2016,Drinking water,At least basic,90.9870609568133,PER,Tumbes,ENDES16,TRUE
2016,Drinking water,Limited service,1.057155282568447,PER,Tumbes,ENDES16,TRUE
2016,Drinking water,Surface water,0.1559590498389222,PER,Tumbes,ENDES16,TRUE
2016,Drinking water,Unimproved,7.799824710779333,PER,Tumbes,ENDES16,TRUE
2016,Drinking water,At least basic,80.66592679716263,PER,Ucayali,ENDES16,TRUE
2016,Drinking water,Limited service,0.2675942470811174,PER,Ucayali,ENDES16,TRUE
2016,Drinking water,Surface water,7.339817950782929,PER,Ucayali,ENDES16,TRUE
2016,Drinking water,Unimproved,11.72666100497332,PER,Ucayali,ENDES16,TRUE
